ADA Code,Dentist Description,Patient Friendly Description,Procedure Categories for Wizard setup for Dentists,Categories for patient price comparison (Phase 2)
D7899,"Unspecified TMD therapy, B/R",Additional treatment or management for temporomandibular joint (TMJ) dysfunction,,
D7910,Suture of small wounds to 5cm,Stitches of recent small wounds up to 5 cm,,
D7911,Complicated suture-up to 5 cm,Complicated stitches of a small wound,,
D7912,Complicated suture-over 5 cm,Complicated stitches of a wound greater than 5 cm,,
D7920,"Skin grafts, by report","Skin graft, including report for insurance",,
D7921,Coll/App Autologous Blood Conc,Collection of concentrated blood,,
D7940,Osteoplasty-orthognathic defor,"Reconstruction of jaws for correction of congenital, developmental or acquired traumatic or surgical deformity",,
D7941,Osteotomy-mandibular rami,Surgical cutting or transection of a bone,,
D7942,"Osteotomy-ramus, open",Surgical cutting or transection of a bone,,
D7943,Osteotomy-mand rami w/ graft,Surgical cutting or transection of a bone with bone graft,,
D7944,Osteotomy-segment/subap-s/quad,Surgical cutting or transection of bone for a range of teeth,,
D7945,Osteotomy-body of mandible,Surgical cutting or transection of the lower jaw,,
D7946,LeFort I (maxilla-total),Surgical section to repair fracture of the upper jaw – total,,
D7947,LeFort I (maxilla-segmented),Surgical section to repair fracture of the upper jaw – segmented,,
D7948,LeFort II/III-no bone graft,Surgical section to repair fracture of the upper jaw – major,,
D7949,LeFort II/III-with bone graft,"Surgical section to repair fracture of the upper jaw – major, including bone graft",,
D7950,Osseous/cartilage graft-mandB/R,Surgical grafting for the repair of conditions with the upper or lower jaw,,
D7951,Sinus augmentation w/bone,Sinus augmentation with bone or bone substitutes,Sinus Lift,IMPLANT
D7952,"Sinus Augment,Vertical Approach",Sinus Lift,Sinus Lift,IMPLANT
D7953,Bone repl grft ridge prsv/site,Bone replacement graft for ridge preservation,Bone Graft,IMPLANT
D7955,Rep maxillofacial sft/hrd tis,Reconstruction of defects of the facial bones,,
D7960,Frenulectomy-separate procedur,Frenulectomy,Gum Surgery,GUM SURGERY
D7963,Frenuloplasty,Removal of excess tissue and removal or repositioning of muscle inside the mouth,Gum Surgery,
D7970,"Excision, hyperplast tiss-arch",Removal of excess tissue around the upper or lower jaw,,
D7971,Excision-pericoronal ging /arch,Surgical removal of diseased tissue surrounding teeth that have difficulty growing in,Gum Surgery,
D7972,"Surg reduc, fibrous tuberosity",Surgical removal of fibrous or bony tissue,,
D7980,Sialolithotomy,Surgical removal of a stone within a salivary gland or its duct,,
D7981,"Excision of salivary gland, B/R","Surgical removal of a salivary gland, including report for insurance",,
D7982,Sialodochoplasty,Surgical repair of a defect and/or restoration of a portion of a salivary gland duct,,
D7983,Closure of salivary fistula,"Surgical closure of an opening between a salivary duct and/or gland, or an abnormal opening into the oral cavity",,
D7990,Emergency tracheotomy,Emergency tracheotomy,,
D7991,Coronoidectomy,Surgical removal of a small part of the lower jaw,,
D7995,"Synthetic graft-mand/facial,B/R","Synthetic graft of the lower jaw or facial bones, including report for insurance",,
D7996,"Implant-mandib/augmentation,B/R",Implant for the lower jaw to increase size,,
D7997,Appliance removal-incl archbar,Removal of an archbar or other appliance placed by another dentist,,
D7998,Plcmnt of devc w/o fracture,Placement of a fixation device within the mouth,,
D7999,"Unspecified oral surg proc, B/R","Additional oral surgery procedure, including report for insurance",,
ORTHODONTICS,ORTHODONTICS,ORTHODONTICS,,
D8010,"Limited ortho trt, primary dent",Limited orthodontic treatment for a child,Orthodontics,
D8020,"Limited ortho trt, transitional",Limited orthodontic treatment for a child or adolescent,Orthodontics,
D8030,"Limited ortho treat, adolescent",Limited orthodontic treatment for an adolescent,Orthodontics,
D8040,"Limited ortho treat, adult dent",Limited orthodontic treatment for an adult,Orthodontics,
D8050,"Intercep orth trt, primary dent",Interceptive orthodontic treatment for a child,Orthodontics,
D8060,"Intercep orth trt, transitional",Interceptive orthodontic treatment for a child or adolescent,Orthodontics,
D8070,"Comprehensive orth,transitional",Comprehensive orthodontic treatment for a child or adolescent,Orthodontics,
D8080,"Comprehensive ortho, adolescent",Comprehensive orthodontic treatment for an adolescent,Orthodontics,
D8090,"Comprehensive ortho, adult dent",Comprehensive orthodontic treatment for an adult,Orthodontics,
D8210,Removable appliance therapy,Removable appliance therapy,Orthodontics,
D8220,Fixed appliance therapy,Fixed appliance therapy,Orthodontics,
D8660,Pre-orthodontic treatment visit,Pre-orthodontic treatment visit,Orthodontics,
D8670,Periodic ortho visit (contract),Periodic orthodontic treatment visit (as part of contract),Orthodontics,
D8680,Orthodontic retention,"Construction, placement and removal of orthodontic retainer(s)",Orthodontics,
D8690,Ortho treatment (bill/contract),Orthodontic treatment (alternative billing to a contract fee),Orthodontics,
D8691,Repair of orthodontic appliance,Repair of orthodontic appliance,Retainers,
D8692,Retainer replacemnt-lost/broken,Replacement of lost or broken retainer,Retainers,
D8693,Rebond/repair of fixed retainer,Rebonding or recementing; and/or repair of fixed retainers,Retainers,
D8694,Repair/reattach fixed retainer,,Retainers,
D8999,"Unspec ortho procedure, B/R","Additional orthodontic procedure, including report for insurance",,
ADJUNCTIVE SERVICES,ADJUNCTIVE SERVICES,ADJUNCTIVE SERVICES,,
D9110,"Emerg treatment, palliative",Emergency treatment of dental pain,Emergency Pain Relief,
D9120,Fixed partl denture sectioning,Separation of one or more connections for a partial denture when the remaining portion of the partial denture will still be used,,
D9210,Local anesthesia not op/surg,Local anesthesia not in conjunction with operative or surgical procedures,Emergency Pain Relief,
D9211,Regional block anesthesia,Regional block anesthesia,,
D9212,Trigeminal division blk anesth,Trigeminal division block anesthesia,,
D9215,Local anesthesia,Local anesthesia,,
D9220,Deep sedat/gen anesth-1st 30m,Deep sedation/general anesthesia – first 30 minutes,,
D9221,Deep sedat/gen anesth-ea+15m,Deep sedation/general anesthesia – each additional 15 minutes,,
D9230,Analgesia,Nitrous oxide,,
D9240,Intravenous sedation,,,
D9241,IV conscious sed/analg-1st 30m,"Intravenous, conscious sedation/analgesia – first 30 minutes",,
D9242,IV conscious sed/analg-ea15m+,"Intravenous, conscious sedation/analgesia – each additional 15 minutes",,
D9248,Non IV conscious sedation,Non-intravenous conscious sedation,,
D9310,Consultation-per session,Professional consultation for a second opinion,,
D9410,House/extended care facility,Professional house call or visit to an extended care facility,,
D9420,Professional hospital call,Hospital call,,
D9430,Office visit for observation,Office visit for observation,,
D9440,Office visit-after regular hrs,Office visit after regularly scheduled hours,Emergency Pain Relief,
D9450,"Case present,detailed/extens tx",Case presentation of detailed and extensive treatment planning,,
D9610,"Therapeutic drug injection, B/R",Injection of therapeutic medication – single administration,Emergency Pain Relief,
D9612,"Therap parenteral drugs, 2+",Injection of therapeutic medication – two or more administrations of different medications,Emergency Pain Relief,
D9630,"Other drugs/medicaments, B/R","Additional drugs/medicaments, including report for insurance",,
D9910,Application of desensitize med,Application of desensitizing medication,,
D9911,"Apply desensitiz' resin, per th","Application of a desensitizing coating, per tooth",,
D9920,"Behavior management, by report","Behavior management, including report for insurance",,
D9930,Treat complications-postsurgic,"Treatment of post-surgical complications involving unusual circumstances, including report for insurance",,
D9940,"Occlusal guards, by report",Removable dental guard to minimize effects of grinding the teeth or for other treatment,,
D9941,Fabricate athletic mouthguards,Fabrication of athletic mouthguard,Nightguard/Mouthgaurd,
D9942,Repair/Reline of occlusal guard,Repair and/or reline of dental guard,Nightguard/Mouthgaurd,
D9950,Occlusal analysis-mounted case,"Analysis of the patient`s bite, involving several tests, measurements, models, etc.",,
D9951,Occlusal adjustment-limited,Reshape the biting surfaces of the teeth to improve contact between the upper and lower teeth,,
D9952,Occlusal adjustment-complete,Reshape the biting surfaces of the teeth to improve contact between the upper and lower teeth – complex and may involve multiple visits,,
D9970,Enamel microabrasion,Removal of discolored surface enamel,,
D9971,Odontoplasty 1-2 teeth-rmv enam,Surgical contouring of tooth surface to enhance plaque control and gum health,,
D9972,External bleaching-per arch,Professional tooth whitening of the upper or lower teeth,Teeth Whitening,
D9973,External bleaching-per tooth,"Professional tooth whitening, per tooth",Teeth Whitening,
D9974,Internal bleaching-per tooth,"Professional tooth whitening from within the tooth, per tooth",Teeth Whitening,
D9975,External Bleaching-Home-Arch,Home Teeth Whitening,Teeth Whitening,
D9999,"Unspecified adjunct. proced,B/R","Additional services, including report for insurance",,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
Procedure Code,Dentist's Description,Patient Description,Plan Description,Categories for patient price comparison
